Sl. No.,State/UT,NFHS-5 (2019-21) - Percentage of women who drink alcohol,NFHS-5 (2019-21) - Percentage of men who drink alcohol,NFHS-4 (2015-16) - Percentage of women who drink alcohol,NFHS-4 (2015-16) - Percentage of men who drink alcohol
1,Andaman and Nicobar Islands,2.2,42.1,2.5,51.7
2,Andhra Pradesh,0.2,31.2,0.4,34.9
3,Arunachal Pradesh,17.8,56.6,26.3,59
4,Assam,5.5,26.5,6.9,35.6
5,Bihar,0.1,17,0.2,28.9
6,Chandigarh,0.1,26.4,0.5,39.3
7,Chhattisgarh,2.8,35.9,5,52.7
8,Dadra and Nagar Haveli and Daman and Diu,0.5,41.8,NA,NA
9,Delhi,1.4,27.9,0.6,24.7
10,Goa,4.8,59.1,4.2,44.7
11,Gujarat,0.1,5.9,0.3,11.1
12,Haryana,0.1,17.9,0.1,24.5
13,Himachal Pradesh,0.4,31.9,0.3,39.7
14,Jammu and Kashmir,0.2,10.5,0.1,10.5
15,Jharkhand,2.6,40.4,4.1,39.3
16,Karnataka,0.3,23.1,1,29.2
17,Kerala,0.3,26,1.6,37
18,Ladakh,3.6,23.7,NA,NA
19,Lakshadweep,0.1,0.8,0,5.4
20,Madhya Pradesh,0.4,20.2,1.6,29.6
21,Maharashtra,0.2,17.2,0.2,20.5
22,Manipur,1.6,47.9,6.1,52.6
23,Meghalaya,1,36.3,2.1,44.6
24,Mizoram,1,29.9,4.9,49.5
25,Nagaland,1.4,31.1,3.3,38.8
26,Odisha,2.7,38.4,2.4,39.3
27,Puducherry,0.2,37.1,0.6,41
28,Punjab,0.1,27.5,0.1,34
29,Rajasthan,0.1,11.5,0.1,15.9
30,Sikkim,14.8,36.3,23,51.2
31,Tamil Nadu,0.1,32.8,0.4,46.7
32,Telangana,4.9,50,8.7,53.8
33,Tripura,4.3,35.9,4.8,57.6
34,Uttar Pradesh,0.1,16.5,0.1,22.1
35,Uttarakhand,0.1,32.1,0.3,35.2
36,West Bengal,0.7,25.7,0.8,28.7
India,India,0.7,22.4,1.2,29.2
